Equipo id,Edad,90 s,PrgC,PrgP,PrgR,Ast,G-TP,npxG,xAG,npxG+xAG,GC90,% Salvadas,% Salvadas,PaC%,PSxG/SoT,/90,%deLanzamientos,Int._x,% de Stp,Núm. de OPA/90,DistProm.,Long. prom.,Dis,Int._y,% Cmp,ACT,Desp.,Int,Bloqueos,Tkl,Ataq. pen.,Toques,Succ,Ganados,Jugadores_utiles,N_competiciones,temporada
23900000,27.3,24.445,1.48,3.4905,3.146,0.0775,0.097,0.124,0.0865,0.2105,0.094,7.015000000000001,0.0,3.2350000000000003,0.029000000000000005,-0.007000000000000001,3.0100000000000002,0.5145,0.8300000000000001,0.132,1.645,5.24,1.322,37.2605,76.435,1.811,1.214,0.8035,0.835,1.2015,1.7794999999999999,45.232,0.5974999999999999,1.107,20.0,3.0,2022-2023
23900000,26.09090909090909,22.354545454545455,1.3409090909090908,3.184090909090909,3.127272727272727,0.06727272727272728,0.0890909090909091,0.10454545454545454,0.07954545454545454,0.18363636363636363,0.08636363636363636,6.722727272727273,0.0,3.027272727272727,0.024090909090909093,0.002727272727272727,3.1545454545454548,0.43409090909090914,0.34545454545454546,0.115,1.4863636363636366,3.559090909090909,1.0931818181818183,34.665,73.95454545454545,1.5377272727272726,1.6050000000000002,0.8381818181818183,0.859090909090909,1.0377272727272728,1.6022727272727273,42.824090909090906,0.5827272727272728,1.241818181818182,22.0,4.0,2021-2022
23900000,26.15,25.23,1.4505,3.0245,3.0505,0.08,0.0995,0.099,0.079,0.178,0.056999999999999995,3.2950000000000004,0.835,1.1,0.014000000000000002,-0.004,1.85,0.29900000000000004,0.225,0.046,0.755,2.6399999999999997,1.0065,35.14,74.375,1.4785,1.3355000000000001,0.8404999999999999,0.6755,0.932,1.3315,42.3125,0.6245,1.2645,20.0,4.0,2020-2021
23900000,26.59090909090909,21.62272727272727,1.1695454545454547,2.48,2.694090909090909,0.05954545454545455,0.06818181818181818,0.09363636363636364,0.07227272727272728,0.16454545454545455,0.11409090909090908,5.9409090909090905,0.0,1.6727272727272726,0.025909090909090913,-0.025909090909090913,5.109090909090909,0.5509090909090909,0.7045454545454546,0.02727272727272727,1.05,5.290909090909091,1.044090909090909,33.54,72.44090909090909,1.510909090909091,1.4104545454545454,0.8763636363636365,0.7177272727272727,1.13,1.2254545454545456,41.809090909090905,0.6868181818181818,1.6327272727272728,22.0,3.0,2019-2020
23900000,26.95,22.14,1.23,2.9815,3.114,0.073,0.088,0.083,0.08199999999999999,0.1655,0.124,6.905000000000001,0.0,2.9799999999999995,0.0325,-0.002,5.6,0.587,0.44000000000000006,0.0695,1.42,6.055,0.9015000000000001,36.718,73.275,1.535,1.7169999999999999,1.034,0.9055,1.3395,1.4365,45.099000000000004,0.593,1.9004999999999999,20.0,3.0,2018-2019
39613000,27.19047619047619,25.242857142857144,1.545238095238095,3.3619047619047615,3.395238095238095,0.12333333333333332,0.14714285714285713,0.1519047619047619,0.11190476190476191,0.2638095238095238,0.09857142857142856,7.323809523809524,0.0,2.7476190476190476,0.024761904761904763,0.010952380952380953,3.6333333333333337,0.7871428571428571,0.819047619047619,0.06285714285714285,1.119047619047619,4.476190476190476,1.4219047619047618,42.818571428571424,80.1952380952381,2.1495238095238096,1.2933333333333334,0.7504761904761905,0.8942857142857144,1.4223809523809525,2.099047619047619,51.5647619047619,0.7504761904761905,0.9457142857142857,21.0,4.0,2022-2023
39613000,27.476190476190474,26.423809523809524,1.58,3.317619047619048,3.2890476190476194,0.10190476190476191,0.1442857142857143,0.13952380952380952,0.09619047619047619,0.23476190476190475,0.05333333333333334,3.2952380952380955,0.47619047619047616,1.4952380952380953,0.012380952380952381,-0.004285714285714286,2.4714285714285715,0.3538095238095238,0.29047619047619044,0.03571428571428571,0.6523809523809524,2.2714285714285714,1.1280952380952383,41.887142857142855,77.31428571428572,1.8009523809523809,1.524761904761905,0.9661904761904762,0.8942857142857144,1.5457142857142858,1.9366666666666668,51.19,0.840952380952381,1.3623809523809522,21.0,5.0,2021-2022
39613000,26.65,25.79,1.7115000000000002,3.8589999999999995,3.8905000000000003,0.1105,0.11950000000000001,0.101,0.0935,0.1955,0.039,3.87,2.0,2.175,0.013000000000000001,0.0115,2.54,0.385,0.13999999999999999,0.0335,0.775,2.2600000000000002,1.0070000000000001,48.334500000000006,79.52000000000001,1.8105,1.5474999999999999,1.0310000000000001,0.9029999999999999,1.5875,1.9420000000000002,57.6495,0.9015000000000001,1.2475,20.0,4.0,2020-2021
39613000,25.761904761904763,26.271428571428572,1.5133333333333334,3.168571428571429,3.403809523809524,0.10095238095238096,0.10142857142857142,0.12571428571428572,0.10714285714285714,0.23333333333333334,0.03666666666666667,3.685714285714286,0.0,2.138095238095238,0.012380952380952381,0.006190476190476191,2.719047619047619,0.38095238095238093,0.10476190476190476,0.015238095238095238,0.6047619047619047,2.419047619047619,1.1185714285714288,39.68714285714285,75.31904761904762,1.9300000000000002,1.7580952380952382,0.9861904761904763,0.861904761904762,1.4038095238095238,1.8804761904761906,49.42857142857143,0.8766666666666667,1.8380952380952382,21.0,5.0,2019-2020
39613000,26.045454545454547,25.372727272727275,1.510909090909091,2.6495454545454544,3.210909090909091,0.09136363636363637,0.1309090909090909,0.10363636363636362,0.075,0.17727272727272728,0.09181818181818181,6.654545454545455,0.0,4.240909090909091,0.03227272727272727,0.060000000000000005,4.9772727272727275,0.4445454545454546,0.15454545454545454,0.01636363636363636,0.5454545454545454,4.986363636363636,1.0609090909090908,36.56318181818182,74.78181818181818,1.579090909090909,1.7263636363636363,1.0813636363636363,0.7481818181818182,1.455909090909091,1.780909090909091,45.27227272727273,0.7986363636363637,1.3968181818181817,22.0,5.0,2018-2019
