Equipo id,Edad,90 s,PrgC,PrgP,PrgR,Ast,G-TP,npxG,xAG,npxG+xAG,GC90,% Salvadas,% Salvadas,PaC%,PSxG/SoT,/90,%deLanzamientos,Int._x,% de Stp,Núm. de OPA/90,DistProm.,Long. prom.,Dis,Int._y,% Cmp,ACT,Desp.,Int,Bloqueos,Tkl,Ataq. pen.,Toques,Succ,Ganados,Jugadores_utiles,N_competiciones,temporada
8300000,26.38888888888889,22.87222222222222,1.3511111111111112,2.993888888888889,3.036111111111111,0.07722222222222223,0.09666666666666666,0.0961111111111111,0.07277777777777777,0.16944444444444443,0.0811111111111111,4.072222222222222,1.2333333333333334,1.2000000000000002,0.014444444444444446,0.0044444444444444444,2.1222222222222222,0.4338888888888889,0.3222222222222222,0.03777777777777778,0.6444444444444444,2.4388888888888887,1.0905555555555555,37.37,74.85,1.69,1.5977777777777777,1.16,0.995,1.6133333333333333,1.6366666666666667,47.321666666666665,0.6316666666666666,1.5461111111111112,18.0,3.0,2022-2023
8300000,25.142857142857142,20.93333333333333,1.5971428571428572,3.119047619047619,3.5104761904761905,0.09285714285714286,0.1,0.09904761904761905,0.07952380952380952,0.17952380952380953,0.07142857142857142,3.276190476190476,0.0,0.8761904761904761,0.013333333333333334,-0.004761904761904762,2.0523809523809526,0.410952380952381,0.14285714285714285,0.04238095238095238,0.6714285714285714,2.5285714285714285,1.0547619047619048,36.43523809523809,75.78095238095239,1.6900000000000002,1.3695238095238094,1.0971428571428572,0.88,1.5833333333333333,1.6914285714285715,46.31333333333333,0.8019047619047619,1.2580952380952382,21.0,3.0,2021-2022
8300000,24.954545454545453,19.463636363636365,1.4486363636363637,3.2686363636363636,3.0318181818181817,0.06863636363636363,0.09090909090909091,0.10318181818181818,0.08227272727272728,0.18272727272727274,0.1531818181818182,5.868181818181818,0.5045454545454545,1.6863636363636365,0.024090909090909093,-0.01,3.2181818181818183,0.5663636363636364,0.30454545454545456,0.07681818181818181,1.3772727272727272,3.2681818181818185,0.9672727272727273,42.80318181818182,78.42727272727274,1.6595454545454544,1.4113636363636364,1.1104545454545454,0.7945454545454546,1.3772727272727272,1.4422727272727274,51.66090909090909,0.9040909090909092,1.4672727272727273,22.0,3.0,2020-2021
8300000,25.7,17.435,1.204,3.34,3.1605,0.0815,0.0955,0.09,0.0725,0.162,0.061,3.8649999999999998,1.6649999999999998,1.25,0.014000000000000002,0.014000000000000002,1.795,0.41950000000000004,0.21000000000000002,0.052500000000000005,0.675,1.7600000000000002,1.0210000000000001,40.2045,77.16,1.6649999999999998,1.5485,1.1635,0.7605,1.4825,1.3175,48.937,0.595,1.1895,20.0,4.0,2019-2020
8300000,26.3,23.345,1.152,3.0345000000000004,3.2634999999999996,0.10900000000000001,0.141,0.1145,0.092,0.20750000000000002,0.096,8.525,1.25,1.7550000000000001,0.025500000000000002,0.022,4.154999999999999,0.42000000000000004,0.195,0.12,2.12,5.555,0.897,34.477500000000006,73.545,1.502,1.311,0.8975,0.766,1.258,1.483,42.1575,0.624,1.2974999999999999,20.0,4.0,2018-2019
40700000,26.31578947368421,23.531578947368423,1.7252631578947368,3.772631578947369,4.507894736842106,0.12315789473684209,0.18157894736842106,0.1568421052631579,0.13421052631578947,0.2905263157894737,0.08947368421052632,8.489473684210527,0.0,3.1842105263157894,0.03368421052631579,0.039473684210526314,4.226315789473684,0.3268421052631579,0.7315789473684211,0.05842105263157895,1.2421052631578948,2.794736842105263,1.3257894736842106,43.0921052631579,81.67368421052632,2.1910526315789474,1.0842105263157893,0.7652631578947368,0.8657894736842104,1.2742105263157895,2.0278947368421054,51.51052631578948,0.8621052631578947,0.7636842105263157,19.0,3.0,2022-2023
40700000,25.68421052631579,22.900000000000002,1.6326315789473684,3.383684210526315,3.8305263157894736,0.09368421052631579,0.14894736842105263,0.12999999999999998,0.08263157894736843,0.21210526315789474,0.13578947368421054,7.168421052631579,1.3157894736842106,2.5631578947368423,0.030000000000000002,-0.010526315789473684,3.452631578947368,0.6936842105263158,0.8368421052631579,0.13894736842105262,1.6157894736842107,3.026315789473684,1.295263157894737,41.84684210526316,80.57368421052632,1.9494736842105262,1.3136842105263158,0.981578947368421,0.8168421052631579,1.2794736842105263,1.8094736842105263,50.76105263157895,0.7694736842105264,0.9347368421052632,19.0,3.0,2021-2022
40700000,25.15,21.46,1.7625,3.4455,4.177,0.128,0.132,0.13799999999999998,0.10600000000000001,0.2445,0.06949999999999999,3.495,0.0,1.08,0.0125,-0.0075,2.435,0.34900000000000003,0.175,0.0395,0.7150000000000001,1.95,1.244,42.318,77.6,2.0465,1.457,1.2334999999999998,0.8699999999999999,1.3865,1.752,52.1195,0.8695,1.4505000000000001,20.0,3.0,2020-2021
40700000,26.6,17.05,1.326,3.0780000000000003,3.1414999999999997,0.0695,0.1,0.11399999999999999,0.0905,0.20550000000000002,0.042499999999999996,3.81,1.25,2.5949999999999998,0.015,0.0085,1.855,0.337,0.125,0.0325,0.6599999999999999,1.98,0.9664999999999999,36.463,76.31,1.4185,1.256,0.8755000000000001,0.6435000000000001,1.1965,1.3415,43.968,0.6679999999999999,1.367,20.0,4.0,2019-2020
40700000,24.272727272727273,20.84090909090909,1.2663636363636364,3.335909090909091,2.9104545454545456,0.060000000000000005,0.10681818181818183,0.11454545454545455,0.07318181818181818,0.18818181818181817,0.06727272727272728,6.472727272727273,0.0,5.0,0.026363636363636367,0.0036363636363636364,3.272727272727273,0.5268181818181819,0.6681818181818182,0.07545454545454545,1.25,4.631818181818182,0.8763636363636365,35.393181818181816,74.01363636363637,1.4072727272727272,1.7163636363636363,0.9140909090909091,0.7400000000000001,1.424090909090909,1.3981818181818182,44.065,0.6831818181818181,1.6263636363636365,22.0,4.0,2018-2019
