Equipo id,Edad,90 s,PrgC,PrgP,PrgR,Ast,G-TP,npxG,xAG,npxG+xAG,GC90,% Salvadas,% Salvadas,PaC%,PSxG/SoT,/90,%deLanzamientos,Int._x,% de Stp,Núm. de OPA/90,DistProm.,Long. prom.,Dis,Int._y,% Cmp,ACT,Desp.,Int,Bloqueos,Tkl,Ataq. pen.,Toques,Succ,Ganados,temporada
18710000,24.318181818181817,24.163636363636364,1.7486363636363635,4.472727272727273,4.166363636363636,0.15681818181818183,0.16045454545454546,0.16090909090909092,0.1290909090909091,0.2890909090909091,0.07636363636363637,7.0227272727272725,0.0,4.259090909090909,0.02681818181818182,0.014090909090909091,3.2363636363636363,0.3386363636363636,0.5545454545454546,0.17363636363636362,1.4909090909090907,4.1454545454545455,1.344090909090909,48.95045454545455,82.35909090909091,2.1731818181818183,1.220909090909091,0.6177272727272727,0.7490909090909091,1.2518181818181817,2.666818181818182,57.60954545454545,0.7586363636363637,1.0772727272727272,2022-2023
18710000,24.545454545454547,21.795454545454547,1.444090909090909,3.2068181818181816,3.2813636363636363,0.12272727272727274,0.1509090909090909,0.14227272727272727,0.09727272727272727,0.24227272727272728,0.11272727272727275,6.372727272727272,0.0,3.4227272727272724,0.034545454545454546,0.005,3.1772727272727277,0.43227272727272725,0.6590909090909091,0.09136363636363636,1.0772727272727272,4.795454545454546,1.393181818181818,38.45181818181818,79.47727272727273,2.007727272727273,1.2177272727272728,0.7227272727272728,0.7672727272727272,1.0931818181818183,1.9695454545454545,46.41863636363637,0.6627272727272727,0.9827272727272728,2021-2022
18710000,24.857142857142858,22.764285714285712,1.7567857142857142,3.89,3.942857142857143,0.11035714285714285,0.12214285714285714,0.145,0.10464285714285715,0.25,0.08321428571428571,4.567857142857142,1.1892857142857143,2.5964285714285715,0.019642857142857146,-0.004642857142857143,1.032142857142857,0.3260714285714286,0.3178571428571428,0.09285714285714286,1.3107142857142857,2.8214285714285716,1.1864285714285714,45.348214285714285,82.42142857142858,1.8807142857142858,1.1835714285714285,0.8982142857142856,0.7817857142857143,0.9232142857142858,2.185,52.987857142857145,0.7028571428571428,1.072142857142857,2020-2021
18710000,24.125,24.366666666666664,1.7783333333333333,3.35375,3.4866666666666664,0.10833333333333334,0.15166666666666667,0.13416666666666666,0.09708333333333334,0.2333333333333333,0.09749999999999999,6.408333333333334,0.5958333333333333,2.7458333333333336,0.01958333333333333,0.005,2.2541666666666664,0.57375,0.3875,0.07166666666666667,1.175,3.0125000000000006,1.0604166666666666,40.82666666666667,80.04166666666667,1.5545833333333334,1.4358333333333333,0.8508333333333334,0.80375,1.2254166666666666,1.79625,49.16041666666666,0.90625,1.0208333333333333,2019-2020
18710000,26.695652173913043,26.839130434782607,1.8591304347826085,4.06391304347826,3.966521739130435,0.12217391304347826,0.14521739130434783,0.1391304347826087,0.11217391304347826,0.25130434782608696,0.10782608695652174,6.334782608695652,0.0,2.7,0.02347826086956522,0.006956521739130435,3.0086956521739125,0.5960869565217392,0.2826086956521739,0.10391304347826087,1.2739130434782608,4.269565217391304,1.0639130434782609,48.90652173913043,81.03478260869565,1.8143478260869563,1.6569565217391304,0.9091304347826087,0.9495652173913044,1.2569565217391305,2.1043478260869564,57.627826086956524,0.6395652173913043,1.1543478260869566,2018-2019
86022920,27.157894736842106,23.05263157894737,1.4394736842105262,2.6905263157894734,2.8552631578947367,0.07842105263157895,0.09789473684210526,0.10631578947368421,0.0931578947368421,0.19947368421052633,0.20105263157894737,6.905263157894736,1.0526315789473684,2.878947368421053,0.027894736842105264,-0.02631578947368421,4.21578947368421,0.6,1.236842105263158,0.16052631578947368,1.6210526315789473,4.605263157894737,1.016315789473684,37.40736842105263,76.52105263157895,1.6073684210526316,1.4705263157894737,0.7373684210526316,0.9973684210526316,1.4557894736842105,1.6247368421052633,46.41578947368421,0.6668421052631579,0.8757894736842106,2022-2023
86022920,25.9,21.34,1.48,2.9055,3.1155,0.121,0.11200000000000002,0.095,0.081,0.17550000000000002,0.066,3.4899999999999998,1.0,1.4849999999999999,0.013500000000000002,-0.0055,1.8199999999999998,0.3715,0.36,0.046,0.77,1.705,1.114,37.2425,76.965,1.8875,1.5975,0.8435,1.032,1.3805,1.862,46.533,0.6915,1.3495,2021-2022
86022920,24.5,24.022222222222222,1.4611111111111112,2.99,3.3966666666666665,0.10444444444444445,0.12833333333333333,0.14277777777777778,0.09777777777777778,0.24055555555555555,0.06722222222222222,4.333333333333333,0.9277777777777777,2.1944444444444446,0.013333333333333332,0.006111111111111111,2.5055555555555555,0.37,0.38333333333333336,0.049444444444444444,0.7888888888888889,2.611111111111111,1.4255555555555555,35.885,75.87777777777778,2.1855555555555557,1.7038888888888888,0.9466666666666667,0.9372222222222223,1.1961111111111111,2.3661111111111115,45.25555555555556,0.895,1.7327777777777778,2020-2021
86022920,25.82608695652174,21.421739130434784,1.0734782608695652,2.127391304347826,2.327391304347826,0.11391304347826088,0.10565217391304349,0.10391304347826087,0.07782608695652174,0.18130434782608695,0.22043478260869567,8.804347826086957,1.4478260869565216,2.465217391304348,0.03434782608695652,-0.05695652173913044,6.4173913043478255,0.9760869565217393,0.5521739130434782,0.08652173913043477,1.6565217391304348,6.530434782608695,1.078695652173913,28.75913043478261,72.93478260869566,1.432608695652174,1.6591304347826086,0.8782608695652173,0.788695652173913,0.9282608695652175,1.3239130434782609,36.619565217391305,0.6247826086956522,1.4291304347826086,2019-2020
86022920,26.583333333333332,21.787499999999998,1.7170833333333333,3.0025,3.1975,0.09166666666666667,0.12416666666666666,0.12041666666666667,0.09000000000000001,0.2091666666666667,0.17708333333333334,8.529166666666667,3.470833333333333,2.9958333333333336,0.034999999999999996,-0.01833333333333333,6.541666666666667,1.0,0.4875,0.07875,1.5791666666666666,6.675,1.1170833333333334,40.990833333333335,74.2,1.9191666666666667,2.308333333333333,0.7183333333333334,0.8224999999999999,1.0820833333333333,1.68875,50.25958333333333,0.6891666666666666,2.225,2018-2019
