Equipo id,Edad,90 s,PrgC,PrgP,PrgR,Ast,G-TP,npxG,xAG,npxG+xAG,GC90,% Salvadas,% Salvadas.1,PaC%,PSxG/SoT,/90,%deLanzamientos,Int._x,% de Stp,Núm. de OPA/90,DistProm.,Long. prom.,Dis,Int._y,% Cmp,ACT,Desp.,Int,Bloqueos,Tkl,Ataq. pen.,Toques,Succ,Ganados,Jugadores_utiles,N_competiciones,temporada
96764240,26.42105263157895,21.95263157894737,1.4147368421052633,3.0510526315789472,3.306842105263158,0.0726315789473684,0.0873684210526315,0.1094736842105263,0.0773684210526315,0.1852631578947368,0.0668421052631579,3.9894736842105263,1.7526315789473683,1.4210526315789471,0.0147368421052631,0.0121052631578947,2.1052631578947367,0.3626315789473684,0.3842105263157894,0.0357894736842105,0.6052631578947368,2.126315789473684,1.0321052631578946,40.30315789473684,77.07368421052632,1.6194736842105264,1.2773684210526317,1.1373684210526316,0.9973684210526316,1.6068421052631578,1.6736842105263157,50.25315789473684,1.041578947368421,0.893157894736842,19.0,3.0,2022-2023
96764240,26.52380952380953,19.91904761904762,1.4176190476190476,2.921428571428572,3.0704761904761906,0.0457142857142857,0.0861904761904761,0.1033333333333333,0.0719047619047619,0.1771428571428571,0.1738095238095238,5.857142857142857,0.0,2.1523809523809527,0.0271428571428571,-0.0433333333333333,3.1142857142857148,0.6352380952380953,0.5095238095238095,0.0699999999999999,1.1809523809523808,3.538095238095238,1.0485714285714285,42.691428571428574,78.6952380952381,1.730952380952381,1.158095238095238,0.8357142857142857,0.8352380952380952,1.468095238095238,1.6342857142857143,51.63904761904762,0.7404761904761905,1.032857142857143,21.0,3.0,2021-2022
96764240,25.72222222222222,23.355555555555554,1.8105555555555557,3.981666666666667,4.234444444444445,0.0977777777777777,0.125,0.1594444444444444,0.1133333333333333,0.275,0.0344444444444444,4.638888888888889,0.6944444444444444,3.088888888888889,0.0116666666666666,0.0105555555555555,1.1111111111111112,0.3616666666666666,0.1944444444444444,0.0283333333333333,0.7555555555555555,2.25,1.3988888888888888,50.11555555555556,81.15,2.218888888888889,0.9744444444444444,1.288888888888889,0.8805555555555555,1.4400000000000002,1.8855555555555557,60.063333333333325,1.1477777777777778,0.8972222222222221,18.0,3.0,2020-2021
52737000,24.7,20.505000000000003,1.841,3.4305,4.218999999999999,0.0854999999999999,0.109,0.1075,0.076,0.1815,0.0475,7.915000000000001,0.0,5.24,0.026,0.0185,3.1700000000000004,0.55,1.12,0.074,1.2100000000000002,3.15,1.1004999999999998,40.784,72.99,1.6940000000000002,1.076,0.867,0.8115,1.3305,1.7440000000000002,49.91,0.8,1.207,20.0,3.0,2022-2023
52737000,24.26086956521739,18.76521739130435,1.3769565217391304,3.031304347826087,3.278695652173913,0.057391304347826,0.0834782608695652,0.1056521739130434,0.0665217391304347,0.1704347826086956,0.088695652173913,6.278260869565217,0.0,4.3478260869565215,0.0195652173913043,-0.0208695652173913,3.839130434782609,0.6126086956521739,1.0739130434782609,0.0634782608695652,1.091304347826087,3.869565217391304,0.9552173913043478,38.07521739130435,74.18695652173913,1.4713043478260872,1.2195652173913043,0.9517391304347826,0.75,1.1234782608695653,1.3513043478260869,47.00913043478261,0.7921739130434782,1.16,23.0,3.0,2021-2022
52737000,26.0,21.1,1.678421052631579,3.196842105263158,4.074210526315789,0.051578947368421,0.0610526315789473,0.0968421052631578,0.0763157894736842,0.1736842105263157,0.0668421052631579,3.594736842105263,0.0,1.4631578947368422,0.0147368421052631,-0.0073684210526315,2.5894736842105264,0.4357894736842105,0.231578947368421,0.0684210526315789,0.8210526315789474,2.8000000000000003,0.986315789473684,40.84842105263158,74.9421052631579,1.7015789473684209,1.3389473684210529,0.9742105263157896,0.9189473684210526,1.3836842105263158,1.5578947368421054,50.59368421052631,0.9242105263157896,1.431578947368421,19.0,3.0,2020-2021
83960000,24.705882352941178,24.54705882352941,1.8047058823529407,3.6194117647058826,3.818235294117647,0.0641176470588235,0.1405882352941176,0.1399999999999999,0.0935294117647058,0.2364705882352941,0.038235294117647,4.623529411764705,0.0,2.7,0.0129411764705882,0.0029411764705882,2.235294117647059,0.3752941176470588,0.5176470588235295,0.0288235294117647,0.6,2.7411764705882358,1.2729411764705882,40.33588235294118,77.89999999999999,2.0194117647058825,1.5247058823529411,1.088235294117647,0.8494117647058823,1.208235294117647,2.081176470588236,50.10117647058824,0.8905882352941176,1.3276470588235294,17.0,3.0,2022-2023
83960000,25.074074074074076,15.22962962962963,1.405925925925926,2.207037037037037,2.678888888888889,0.0644444444444444,0.0866666666666666,0.0796296296296296,0.0511111111111111,0.1325925925925926,0.1303703703703703,4.748148148148148,0.0,1.7629629629629628,0.0222222222222222,-0.0185185185185185,3.437037037037037,0.6411111111111111,0.5925925925925926,0.1029629629629629,1.0222222222222224,4.2,0.942962962962963,36.5237037037037,76.11851851851851,1.498888888888889,1.755925925925926,1.2025925925925929,0.9751851851851852,1.5485185185185186,1.087037037037037,47.26851851851852,0.8037037037037037,1.212962962962963,27.0,3.0,2021-2022
83960000,24.40909090909091,20.168181818181814,1.5990909090909091,2.49,3.1972727272727277,0.0668181818181818,0.1127272727272727,0.1081818181818181,0.069090909090909,0.1768181818181818,0.1322727272727273,6.754545454545456,1.5909090909090908,1.9272727272727272,0.0213636363636363,-0.0154545454545454,3.136363636363636,0.5954545454545455,0.4954545454545455,0.0854545454545454,1.3409090909090908,4.8500000000000005,1.1468181818181815,34.08,76.13636363636364,1.739090909090909,1.290909090909091,1.1236363636363635,0.7972727272727272,1.3954545454545455,1.491818181818182,43.775454545454544,0.8718181818181818,1.38,22.0,3.0,2020-2021
38450000,24.38095238095238,22.23333333333333,1.437142857142857,3.432857142857143,3.7890476190476186,0.0880952380952381,0.119047619047619,0.1176190476190476,0.079047619047619,0.1966666666666666,0.1109523809523809,7.361904761904763,2.0428571428571427,1.923809523809524,0.0133333333333333,0.0004761904761904,1.1619047619047618,0.3309523809523809,0.2761904761904762,0.0261904761904761,0.4809523809523809,1.7714285714285716,1.08,37.359047619047615,74.54761904761905,1.5823809523809529,1.1957142857142855,0.956190476190476,1.0457142857142858,1.6,1.5804761904761904,46.09047619047619,0.6357142857142857,0.9128571428571428,21.0,3.0,2022-2023
