Equipo id,Edad,90 s,PrgC,PrgP,PrgR,Ast,G-TP,npxG,xAG,npxG+xAG,GC90,% Salvadas,% Salvadas.1,PaC%,PSxG/SoT,/90,%deLanzamientos,Int._x,% de Stp,Núm. de OPA/90,DistProm.,Long. prom.,Dis,Int._y,% Cmp,ACT,Desp.,Int,Bloqueos,Tkl,Ataq. pen.,Toques,Succ,Ganados,Jugadores_utiles,N_competiciones,temporada
8300000,26.38888888888889,22.87222222222222,1.3511111111111112,2.993888888888889,3.036111111111111,0.0772222222222222,0.0966666666666666,0.0961111111111111,0.0727777777777777,0.1694444444444444,0.0811111111111111,4.072222222222222,1.2333333333333334,1.2000000000000002,0.0144444444444444,0.0044444444444444,2.1222222222222222,0.4338888888888889,0.3222222222222222,0.0377777777777777,0.6444444444444444,2.4388888888888887,1.0905555555555555,37.37,74.85,1.69,1.5977777777777775,1.16,0.995,1.6133333333333333,1.6366666666666667,47.321666666666665,0.6316666666666666,1.5461111111111112,18.0,3.0,2022-2023
8300000,25.142857142857142,20.93333333333333,1.5971428571428572,3.119047619047619,3.5104761904761905,0.0928571428571428,0.1,0.099047619047619,0.0795238095238095,0.1795238095238095,0.0714285714285714,3.276190476190476,0.0,0.8761904761904761,0.0133333333333333,-0.0047619047619047,2.0523809523809526,0.410952380952381,0.1428571428571428,0.0423809523809523,0.6714285714285714,2.5285714285714285,1.0547619047619048,36.43523809523809,75.78095238095239,1.6900000000000002,1.3695238095238094,1.0971428571428572,0.88,1.5833333333333333,1.6914285714285715,46.31333333333333,0.8019047619047619,1.2580952380952382,21.0,3.0,2021-2022
8300000,24.954545454545453,19.463636363636365,1.4486363636363635,3.268636363636364,3.0318181818181817,0.0686363636363636,0.0909090909090909,0.1031818181818181,0.0822727272727272,0.1827272727272727,0.1531818181818182,5.868181818181818,0.5045454545454545,1.6863636363636365,0.024090909090909,-0.01,3.2181818181818183,0.5663636363636364,0.3045454545454545,0.0768181818181818,1.3772727272727272,3.2681818181818185,0.9672727272727272,42.80318181818182,78.42727272727274,1.6595454545454544,1.4113636363636364,1.1104545454545454,0.7945454545454546,1.3772727272727272,1.4422727272727274,51.66090909090909,0.9040909090909092,1.4672727272727273,22.0,3.0,2020-2021
8300000,25.7,17.435,1.204,3.34,3.1605,0.0815,0.0955,0.09,0.0725,0.162,0.061,3.865,1.6649999999999998,1.25,0.014,0.014,1.795,0.4195,0.21,0.0525,0.675,1.7600000000000002,1.021,40.2045,77.16,1.6649999999999998,1.5485,1.1635,0.7605,1.4825,1.3175,48.937,0.595,1.1895,20.0,4.0,2019-2020
8300000,26.3,23.345,1.152,3.0345000000000004,3.2635,0.109,0.141,0.1145,0.092,0.2075,0.096,8.525,1.25,1.755,0.0255,0.022,4.154999999999999,0.42,0.195,0.12,2.12,5.555,0.897,34.477500000000006,73.545,1.502,1.311,0.8975,0.766,1.258,1.483,42.1575,0.624,1.2975,20.0,4.0,2018-2019
40700000,26.31578947368421,23.531578947368423,1.7252631578947368,3.772631578947369,4.507894736842106,0.123157894736842,0.181578947368421,0.1568421052631579,0.1342105263157894,0.2905263157894737,0.0894736842105263,8.489473684210527,0.0,3.1842105263157894,0.0336842105263157,0.0394736842105263,4.226315789473684,0.3268421052631579,0.7315789473684211,0.0584210526315789,1.2421052631578948,2.794736842105263,1.3257894736842106,43.0921052631579,81.67368421052632,2.191052631578948,1.0842105263157893,0.7652631578947368,0.8657894736842104,1.2742105263157897,2.0278947368421054,51.51052631578948,0.8621052631578947,0.7636842105263157,19.0,3.0,2022-2023
40700000,25.68421052631579,22.9,1.6326315789473684,3.383684210526315,3.8305263157894736,0.0936842105263157,0.1489473684210526,0.1299999999999999,0.0826315789473684,0.2121052631578947,0.1357894736842105,7.168421052631579,1.3157894736842106,2.5631578947368423,0.03,-0.0105263157894736,3.452631578947368,0.6936842105263158,0.8368421052631579,0.1389473684210526,1.6157894736842109,3.026315789473684,1.295263157894737,41.84684210526316,80.57368421052632,1.9494736842105265,1.3136842105263158,0.981578947368421,0.8168421052631579,1.2794736842105263,1.8094736842105263,50.76105263157895,0.7694736842105264,0.9347368421052632,19.0,3.0,2021-2022
40700000,25.15,21.46,1.7625,3.4455,4.177,0.128,0.132,0.1379999999999999,0.106,0.2445,0.0694999999999999,3.495,0.0,1.08,0.0125,-0.0075,2.435,0.349,0.175,0.0395,0.7150000000000001,1.95,1.244,42.318,77.6,2.0465,1.457,1.2334999999999998,0.8699999999999999,1.3865,1.752,52.1195,0.8695,1.4505,20.0,3.0,2020-2021
40700000,26.6,17.05,1.326,3.0780000000000003,3.1415,0.0695,0.1,0.1139999999999999,0.0905,0.2055,0.0424999999999999,3.81,1.25,2.595,0.015,0.0085,1.855,0.337,0.125,0.0325,0.6599999999999999,1.98,0.9665,36.463,76.31,1.4185,1.256,0.8755000000000001,0.6435000000000001,1.1965,1.3415,43.968,0.6679999999999999,1.367,20.0,4.0,2019-2020
40700000,24.272727272727277,20.84090909090909,1.2663636363636364,3.335909090909091,2.9104545454545456,0.06,0.1068181818181818,0.1145454545454545,0.0731818181818181,0.1881818181818181,0.0672727272727272,6.472727272727273,0.0,5.0,0.0263636363636363,0.0036363636363636,3.272727272727273,0.5268181818181819,0.6681818181818182,0.0754545454545454,1.25,4.631818181818182,0.8763636363636365,35.393181818181816,74.01363636363637,1.4072727272727272,1.7163636363636363,0.9140909090909092,0.7400000000000001,1.424090909090909,1.3981818181818182,44.065,0.6831818181818181,1.6263636363636365,22.0,4.0,2018-2019
